state,year,state_year,pop,pop_density,pop_msa,white,black,unemploy,education,eth_percap,income,poverty,fs_s,handgun,dm_handgun,firearm_suicide,dm_firearm,WI_treated
California,1999,California 1999,33499204,215.04313,0.966187268,0.790838,0.074702,5.275,80.4,1.740897903,30640,14,0.497887553,2.22,0.0175,4.573242994,0.486151042,0
California,2000,California 2000,33871648,217.43398,0.966464047,0.789716,0.074308,4.9,81.2,1.765313338,33364,12.7,0.500842034,2.39,0.1875,4.390102306,0.303010354,0
California,2001,California 2001,34479458,221.33573,0.966897026,0.785923,0.073894,5.466666667,81,1.731473853,34043,12.6,0.512186507,2.3,0.0975,4.205402533,0.118310581,0
California,2002,California 2002,34871843,223.85458,0.966896944,0.783125,0.073622,6.766666667,80.2,1.743705086,34214,13.1,0.461586121,2.43,0.2275,4.272788221,0.185696269,0
California,2003,California 2003,35253159,226.30238,0.976861557,0.780399,0.073343,6.891666667,81.1,1.767475505,35415,13.1,0.443037975,2.33,0.1275,4.26912096,0.182029008,0
California,2004,California 2004,35574576,228.36567,0.976774289,0.777625,0.073175,6.216666667,81.3,1.791836142,37369,13.2,0.405581948,2.07,-0.1325,3.839820888,-0.247271064,0
California,2005,California 2005,35827943,229.99212,0.976763379,0.774434,0.072999,5.375,80.4,1.803087635,39279,13.2,0.414535246,2,-0.2025,3.709395206,-0.377696746,0
California,2006,California 2006,36021202,231.23272,0.976710009,0.771034,0.072928,4.883333333,80.1,1.834030108,42088,12.2,0.395620876,1.94,-0.2625,3.661732332,-0.42535962,0
California,2007,California 2007,36250311,232.70345,0.976918583,0.767782,0.07281,5.333333333,80.2,1.853514498,43629,12.7,0.394780677,1.97,-0.2325,3.922724966,-0.164366986,0
California,2008,California 2008,36604337,234.97607,0.977297043,0.764673,0.072733,7.275,80.2,1.853283779,43890,14.6,0.391523179,2.17,-0.0325,4.037772901,-0.049319051,0
California,2009,California 2009,36961229,237.26708,0.977424068,0.761542,0.072826,11.54166667,80.6,1.84569025,42044,15.3,0.397331938,2.22,0.0175,4.109711828,0.022619876,0
California,2010,California 2010,37253956,239.1462,0.977554867,0.759133,0.07298,12.475,80.7,1.756569638,43636,16.3,0.381293125,2.21,0.0075,4.004943797,-0.082148155,0
California,2011,California 2011,37691912,241.95759,0.977311658,0.757486,0.072947,11.89166667,81.1,1.825719348,46177,16.9,0.391391391,2.24,0.0375,4.149431316,0.062339364,0
California,2012,California 2012,38041430,244.20127,0.977659673,0.754876,0.072747,10.51666667,81.5,1.911826474,48819,15.9,0.397893655,2.28,0.0775,4.071876373,-0.015215579,0
California,2013,California 2013,38332521,246.06989,0.978225669,0.753206,0.072493,9.033333333,81.7,1.90022292,49312,15.1,0.390310559,2.29,0.0875,4.098347719,0.011255767,0
California,2014,California 2014,38802500,249.08685,0.978561098,0.750266,0.072381,7.558333333,82.1,1.893249043,52376,15.8,0.375415282,2.18,-0.0225,4.077056891,-0.010035061,0
California,2015,California 2015,39144818,251.28431,0.978877843,0.747691,0.07224,6.266666667,82.2,1.85782067,55853,13.9,0.37413007,2.09,-0.1125,3.982647205,-0.104444747,0
California,2016,California 2016,39250017,251.95962,0.979023907,0.746104,0.072083,5.508333333,82.4,1.91461061,58074,13.9,0.371448533,2.22,0.0175,4.063692507,-0.023399445,0
California,2017,California 2017,39536653,253.79963,0.979015497,0.742843,0.071877,4.825,83.3,1.892715097,60581,12.1,0.373376623,2.04,-0.1625,4.072170702,-0.01492125,0
California,2018,California 2018,39557045,253.93054,0.979005788,0.740749,0.072076,4.266666667,83.8,2.070224432,63759,11.9,0.362725451,2.35,0.1475,4.118103362,0.03101141,0
California,2019,California 2019,39512223,253.64281,0.979006344,0.739107,0.072209,4.15,84,2.106815655,66745,10.1,0.357529306,2.23,0.0275,4.013947785,-0.073144167,0
California,2020,California 2020,,,,,,,,,,,,2.14,-0.0625,3.94228,-0.144811952,0
Hawaii,1999,Hawaii 1999,1210300,188.4322,0.731279325,0.299701,0.025747,5.2,88,1.827553499,27809,10.8,0.169117647,,,1.900355284,-0.402391062,0
Hawaii,2000,Hawaii 2000,1211537,188.62479,0.729338848,0.297369,0.025173,4.225,87.4,1.885663418,29404,8.9,0.270072993,,,3.053971938,0.751225592,0
Hawaii,2001,Hawaii 2001,1225948,190.86844,0.723298307,0.298165,0.026537,4.308333333,89.1,1.853683843,30347,11.4,0.227941176,,,2.528655375,0.225909029,0
Hawaii,2002,Hawaii 2002,1239613,192.99595,0.723298616,0.299918,0.027362,4.016666667,87.9,1.858892251,31425,11.3,0.175,,,1.694077103,-0.608669243,0
Hawaii,2003,Hawaii 2003,1251154,194.79278,0.719859447,0.300128,0.026683,3.908333333,88.5,1.941960782,32603,9.3,0.183206107,,,1.918229091,-0.384517255,0
Hawaii,2004,Hawaii 2004,1273569,198.28258,0.717896962,0.30074,0.025844,3.3,88,2.048087697,34531,8.6,0.267241379,,,2.434104473,0.131358127,0
Hawaii,2005,Hawaii 2005,1292729,201.26561,0.712457085,0.302913,0.026122,2.808333333,87.2,2.030195811,36594,8.6,0.205607477,,,1.701826137,-0.600920209,0
Hawaii,2006,Hawaii 2006,1309731,203.91266,0.70999177,0.304769,0.025875,2.516666667,89,2.076106468,38711,9.2,0.175,,,1.603382679,-0.699363667,0
Hawaii,2007,Hawaii 2007,1315675,204.83808,0.705868373,0.302409,0.024947,2.766666667,89.4,2.104777396,40605,7.5,0.203007519,,,2.05217854,-0.250567806,0
Hawaii,2008,Hawaii 2008,1332213,207.41289,0.703578953,0.303086,0.024821,4.008333333,90.3,2.116112814,42080,9.9,0.210526316,,,2.101766009,-0.200980337,0
Hawaii,2009,Hawaii 2009,1346717,209.67103,0.700385584,0.302092,0.024724,6.683333333,90.4,2.058868344,41352,12.5,0.205714286,,,2.673167414,0.370421068,0
Hawaii,2010,Hawaii 2010,1360301,211.78593,0.69857186,0.301722,0.024546,6.841666667,89.9,2.054940046,41920,12.4,0.178743961,,,2.719986238,0.417239892,0
Hawaii,2011,Hawaii 2011,1374810,214.04484,0.700798656,0.305513,0.02826,6.841666667,90.6,2.084027611,43524,12.1,0.232044199,,,3.054967596,0.75222125,0
Hawaii,2012,Hawaii 2012,1392313,216.76989,0.814928109,0.306601,0.029836,5.916666667,90.4,2.097480954,44765,13.8,0.226315789,,,3.088386017,0.785639671,0
Hawaii,2013,Hawaii 2013,1404054,218.59785,0.815022072,0.311159,0.031529,4.75,91,2.119159235,44943,10.6,0.16374269,,,1.994225293,-0.308521053,0
Hawaii,2014,Hawaii 2014,1419561,221.01214,0.814521532,0.311872,0.032811,4.241666667,91.7,2.13454723,47230,10.8,0.161764706,,,2.324662343,0.021915997,0
Hawaii,2015,Hawaii 2015,1431603,222.88697,0.813237329,0.312744,0.034401,3.425,90.9,2.146188573,49456,10.9,0.218905473,,,3.073477773,0.770731427,0
Hawaii,2016,Hawaii 2016,1428557,222.41274,0.812248304,0.304949,0.030311,2.891666667,92,2.185462673,51122,9.3,0.212643678,,,2.590026159,0.287279813,0
Hawaii,2017,Hawaii 2017,1427538,222.25409,0.809962327,0.303544,0.030411,2.216666667,92.3,2.198822028,53382,10.6,0.13215859,,,2.10152024,-0.201226106,0
Hawaii,2018,Hawaii 2018,1420491,221.15694,0.808256441,0.303062,0.030577,2.358333333,92,2.210003442,55116,9.2,0.170454545,,,2.111945799,-0.190800547,0
Hawaii,2019,Hawaii 2019,1415872,220.4378,0.806836352,0.302657,0.030643,2.458333333,92.4,2.223551281,57026,8.4,0.183035714,,,2.895741988,0.592995642,0
Hawaii,2020,Hawaii 2020,,,,,,,,,,,,,,2.20326,-0.099486346,0
Illinois,1999,Illinois 1999,12359020,222.60884,NA,0.805223,0.155616,4.391666667,85.4,1.807328413,31024,9.9,0.471568627,0.72,0.23625,3.891894341,0.363587297,0
Illinois,2000,Illinois 2000,12419293,223.69446,NA,0.803711,0.15571,4.433333333,85.5,1.784362041,33169,10.7,0.429710867,0.62,0.13625,3.47040689,-0.057900154,0
Illinois,2001,Illinois 2001,12488445,224.94002,NA,0.801981,0.155364,5.441666667,86.2,1.818021059,34230,10.1,0.443371378,0.7,0.21625,4.043738031,0.515430987,0
Illinois,2002,Illinois 2002,12525556,225.60846,NA,0.80063,0.155062,6.558333333,85.9,1.807991837,34522,12.8,0.4069869,0.53,0.04625,3.720393729,0.192086685,0
Illinois,2003,Illinois 2003,12556006,226.15692,NA,0.799403,0.154694,6.75,85.9,1.885865139,35039,12.6,0.399604352,0.46,-0.02375,3.217583681,-0.310723363,0
Illinois,2004,Illinois 2004,12589773,226.76513,NA,0.798095,0.154449,6.191666667,86.8,1.787298468,36334,12.3,0.376459144,0.45,-0.03375,3.073923573,-0.454383471,0
Illinois,2005,Illinois 2005,12609903,227.1277,NA,0.796705,0.154232,5.716666667,87.2,1.843347249,37793,11.5,0.390423573,0.46,-0.02375,3.36243665,-0.165870394,0
Illinois,2006,Illinois 2006,12643955,227.74104,NA,0.795197,0.154053,4.583333333,85,1.897493387,40214,10.6,0.368316832,0.4,-0.08375,2.942117399,-0.586189645,0
Illinois,2007,Illinois 2007,12695866,228.67606,NA,0.793829,0.153684,5.083333333,85.7,1.930199011,42381,10,0.381768953,0.43,-0.05375,3.331793199,-0.196513845,0
Illinois,2008,Illinois 2008,12747038,229.59776,NA,0.79255,0.153387,6.483333333,85.9,1.89968446,43267,12.3,0.365609349,0.39,-0.09375,3.436092369,-0.092214675,0
Illinois,2009,Illinois 2009,12796778,230.49367,NA,0.791116,0.153228,10.19166667,86.4,1.913491662,41042,13.2,0.341546304,0.49,0.00625,3.141415753,-0.386891291,0
Illinois,2010,Illinois 2010,12830632,231.10344,0.872991681,0.79004,0.153215,10.5,86.9,1.916007489,42093,14.1,0.375212224,0.32,-0.16375,3.444880969,-0.083426075,0
Illinois,2011,Illinois 2011,12869257,231.79915,0.869721072,0.788878,0.153218,9.775,87.2,1.916516936,44139,14.2,0.376019576,0.49,0.00625,3.582180385,0.053873341,0
Illinois,2012,Illinois 2012,12875255,231.90718,0.881658189,0.787609,0.152883,9.025,87.6,1.925970631,46048,12.6,0.379256966,0.54,0.05625,3.805749867,0.277442823,0
Illinois,2013,Illinois 2013,12882135,232.03111,0.882894567,0.78632,0.152551,9.075,87.8,1.911399003,47122,13.6,0.375473126,0.44,-0.04375,3.850293449,0.321986405,0
Illinois,2014,Illinois 2014,12880580,232.0031,0.883568209,0.784237,0.152508,7.166666667,88.2,1.907003334,49459,13.7,0.381258941,0.3,-0.18375,4.138012419,0.609705375,0
Illinois,2015,Illinois 2015,12859995,231.63232,0.88446644,0.782175,0.152611,6.033333333,88.6,1.942835748,51751,10.9,0.363169479,0.44,-0.04375,3.849146131,0.320839087,0
Illinois,2016,Illinois 2016,12801539,230.57942,0.884987578,0.781669,0.152625,5.891666667,88.8,1.911629375,52413,12.1,0.357597173,0.5,0.01625,3.952649756,0.424342712,0
Illinois,2017,Illinois 2017,12802023,230.58814,0.885164165,0.78022,0.152341,4.941666667,89.1,1.963628405,54247,11.5,0.391451832,0.46,-0.02375,4.507100167,0.978793123,0
Illinois,2018,Illinois 2018,12741080,229.49044,0.887349973,0.778399,0.152286,4.366666667,89.5,1.975243857,57138,10.3,0.385080645,0.5,0.01625,4.497263968,0.968956924,0
Illinois,2019,Illinois 2019,12671821,228.24296,0.887834905,0.777675,0.152654,3.991666667,89.8,1.994562265,58786,9.3,0.375260598,0.44,-0.04375,4.261423832,0.733116788,0
Illinois,2020,Illinois 2020,,,,,,,,,,,,0.56,0.07625,4.31379,0.785482956,0
Iowa,1999,Iowa 1999,2917634,52.23399,0.446294876,0.961899,0.022378,2.666666667,89.7,1.577072381,25819,7.4,0.524590164,1.65,-0.701875,5.483895513,-0.153490127,0
Iowa,2000,Iowa 2000,2926324,52.38957,0.418527135,0.958651,0.023968,2.683333333,89.7,1.602667032,27463,8.3,0.543252595,1.33,-1.021875,5.365092861,-0.272292779,0
Iowa,2001,Iowa 2001,2931997,52.49113,0.453174096,0.956972,0.02496,3.341666667,87.8,1.614860793,28215,7.4,0.516447368,2.01,-0.341875,5.354712164,-0.282673476,0
Iowa,2002,Iowa 2002,2934234,52.53118,0.453174587,0.955454,0.025823,3.991666667,88.3,1.652852158,28848,9.2,0.5,2.04,-0.311875,5.350629841,-0.286755799,0
Iowa,2003,Iowa 2003,2941999,52.67019,0.540904709,0.953775,0.026733,4.45,89.7,1.682904719,29385,8.9,0.505681818,2.31,-0.041875,6.050307971,0.412922331,0
Iowa,2004,Iowa 2004,2953635,52.87851,0.543210904,0.952055,0.027731,4.516666667,89.8,1.724709722,31660,10.9,0.451895044,1.93,-0.421875,5.247770967,-0.389614673,0
Iowa,2005,Iowa 2005,2964454,53.0722,0.545106519,0.950251,0.028881,4.3,89.8,1.763191468,32574,11.3,0.510510511,2.46,0.108125,5.734614199,0.097228559,0
Iowa,2006,Iowa 2006,2982644,53.39786,0.547941122,0.948255,0.030185,3.666666667,88.9,1.796432293,34392,10.3,0.446107784,2.05,-0.301875,4.995567691,-0.641817949,0
Iowa,2007,Iowa 2007,2999212,53.69447,0.553940267,0.946093,0.031618,3.708333333,89.6,1.836432036,36640,8.9,0.413043478,1.97,-0.381875,4.434498128,-1.202887512,0
Iowa,2008,Iowa 2008,3016734,54.00816,0.562595523,0.94404,0.033023,4.15,90.3,1.876648057,38537,9.5,0.473684211,2.72,0.368125,5.966717649,0.329332009,0
Iowa,2009,Iowa 2009,3032870,54.29704,0.56673624,0.941833,0.034306,6.416666667,90.5,1.884864831,37136,10.7,0.443213296,2.44,0.088125,5.275531098,-0.361854542,0
Iowa,2010,Iowa 2010,3046355,54.53846,0.570690218,0.940142,0.035191,6.116666667,90.6,1.880319923,38104,10.3,0.475806452,2.95,0.598125,5.810222381,0.172836741,0
Iowa,2011,Iowa 2011,3062309,54.82409,0.565172228,0.938187,0.036167,5.633333333,90.6,1.933157627,40942,10.4,0.438388626,2.74,0.388125,6.0411931,0.40380746,0
Iowa,2012,Iowa 2012,3074186,55.03672,0.576742266,0.936084,0.037234,5.058333333,91.6,1.9640835,42896,10.3,0.45691906,2.83,0.478125,5.69256382,0.05517818,0
Iowa,2013,Iowa 2013,3090416,55.32728,0.581653408,0.933352,0.038702,4.758333333,91.6,1.911786633,43460,13.2,0.494407159,3.46,1.108125,7.151140817,1.513755177,0
Iowa,2014,Iowa 2014,3107126,55.62644,0.584756138,0.929789,0.040282,4.233333333,92.1,1.938393229,44783,10.3,0.476658477,2.74,0.388125,6.243712035,0.606326395,0
Iowa,2015,Iowa 2015,3123899,55.92672,0.589115717,0.926909,0.041591,3.708333333,91.7,1.9317654,46274,10.4,0.445727483,3.27,0.918125,6.178176695,0.540791055,0
Iowa,2016,Iowa 2016,3134693,56.11997,0.592665374,0.923488,0.043209,3.583333333,91.8,1.966294626,46520,9.8,0.505543237,3.45,1.098125,7.273439536,1.636053896,0
Iowa,2017,Iowa 2017,3145711,56.31722,0.596090359,0.920461,0.045006,3.091666667,92.1,1.936604793,47629,7.5,0.463465553,3.47,1.118125,7.05722808,1.41984244,0
Iowa,2018,Iowa 2018,3156145,56.50402,0.611289405,0.917577,0.046561,2.6,92.3,1.944013345,50154,8.9,0.471428571,3.14,0.788125,7.319055367,1.681669727,0
Iowa,2019,Iowa 2019,3155070,56.48477,0.613867838,0.916492,0.047776,2.775,92.6,1.961269956,51791,9.5,0.441287879,3.52,1.168125,7.384939161,1.747553521,0
Iowa,2020,Iowa 2020,,,,,,,,,,,,3.64,1.288125,8.21859,2.58120436,0
Maryland,1999,Maryland 1999,5254509,541.31132,0.927102282,0.66831,0.286141,3.466666667,84.7,1.663423738,33124,7.3,0.554022989,,,4.58653701,0.252699917,0
Maryland,2000,Maryland 2000,5296486,545.63573,0.926972525,0.665048,0.287886,3.533333333,85.7,1.674565929,35681,7.4,0.516877637,,,4.625708441,0.291871348,0
Maryland,2001,Maryland 2001,5374691,553.69228,0.927226112,0.659923,0.290527,4.191666667,88.1,1.695015955,37157,7.2,0.484581498,,,4.093258571,-0.240578522,0
Maryland,2002,Maryland 2002,5440389,560.46039,0.927225901,0.655623,0.292779,4.783333333,87.5,1.704348347,38170,7.4,0.488469602,,,4.282781985,-0.051055108,0
Maryland,2003,Maryland 2003,5496269,566.21706,0.948118039,0.651263,0.295083,4.791666667,87.6,1.71083293,39524,8.6,0.486761711,,,4.348404345,0.014567252,0
Maryland,2004,Maryland 2004,5546935,571.43659,0.947679207,0.646445,0.297825,4.608333333,87.4,1.741577105,41862,9.9,0.5,,,4.506993502,0.173156409,0
Maryland,2005,Maryland 2005,5592379,576.11816,0.94771773,0.641585,0.300535,4.483333333,86.9,1.753805491,43841,9.7,0.466101695,,,3.933925079,-0.399912014,0
Maryland,2006,Maryland 2006,5627367,579.72257,0.947506708,0.637045,0.303037,4.175,87.1,1.778296493,45932,8.4,0.480808081,,,4.229331408,-0.104505685,0
Maryland,2007,Maryland 2007,5653408,582.40527,0.946872424,0.63305,0.304985,3.708333333,87.4,1.798394526,47586,8.8,0.44980695,,,4.12140783,-0.212429263,0
